"mot_quali";"pvalue_quali";"mean_quali";"occu_mot";"mot_defaut";"pvalue_defaut";"mean_defaut";"occu_mot"
"Assez_légumes";1,20425284363875e-10;0,110325577645161;31;"Pas_assez_protéines";1,91057153577231e-06;-0,0692738673902439;41
"Assez_protéines";0,0394899191075352;0,10257174925;4;"Pas_assez_féculents";7,78516255724234e-06;-0,137779810333333;12
"Coloré";0,0408955976291169;0,08863337;3;"Trop_sucré";5,03938900140829e-05;-0,118769071666667;9
"Pain_blanc";0,102794800643593;0,016221534;2;"Produits_transformés";0,000184245196685253;-0,1393229938;5
"Diversifié";0,103056764781953;0,069034247;3;"Trop_légumes";0,00132717896816013;-0,0366068090769231;13
"Assez_féculents";0,385134615587053;0,00273305735714286;28;"Pas_assez_fruits";0,00556028437134859;-0,04866801645;20
"Mauvais_féculents";0,393840487943936;0,0016169035;2;"Pas_assez_légumes";0,0665382682314125;-0,058526736;2
"Pas_assez_produits_laitiers";0,524617741381258;-0,000461459666666667;3;"Assez_fruits";0,102718744003796;-0,015704551826087;23
"Pas_assez_gras";0,699036454748389;-0,0352880885;2;"Trop_féculents";0,194334867812141;-0,0312804972;5
"Assez_sucré";0,707439422669158;-0,0175997615;2;"Assez_fibres";0,2659216073911;-0,013446275;2
"Assez_fibres";0,7340783926089;-0,013446275;2;"Assez_sucré";0,292560577330842;-0,0175997615;2
"Trop_féculents";0,805665132187859;-0,0312804972;5;"Pas_assez_gras";0,300963545251611;-0,0352880885;2
"Assez_fruits";0,897281255996204;-0,015704551826087;23;"Pas_assez_produits_laitiers";0,475382258618742;-0,000461459666666667;3
"Pas_assez_légumes";0,933461731768587;-0,058526736;2;"Mauvais_féculents";0,606159512056064;0,0016169035;2
"Pas_assez_fruits";0,994439715628651;-0,04866801645;20;"Assez_féculents";0,614865384412947;0,00273305735714286;28
"Trop_légumes";0,99867282103184;-0,0366068090769231;13;"Diversifié";0,896943235218047;0,069034247;3
"Produits_transformés";0,999815754803315;-0,1393229938;5;"Pain_blanc";0,897205199356407;0,016221534;2
"Trop_sucré";0,999949606109986;-0,118769071666667;9;"Coloré";0,959104402370883;0,08863337;3
"Pas_assez_féculents";0,999992214837443;-0,137779810333333;12;"Assez_protéines";0,960510080892465;0,10257174925;4
"Pas_assez_protéines";0,999998089428464;-0,0692738673902439;41;"Assez_légumes";0,999999999879575;0,110325577645161;31
"Pas_assez_quantité";NA;-0,015110927;1;"Pas_assez_quantité";NA;-0,015110927;1
"Trop_léger";NA;-0,000423648;1;"Trop_léger";NA;-0,000423648;1
"Trop_fruits";NA;-0,030633077;1;"Trop_fruits";NA;-0,030633077;1
"Farine_blé";NA;0,007665064;1;"Farine_blé";NA;0,007665064;1
"Pas_assez_viande";NA;-0,000947451;1;"Pas_assez_viande";NA;-0,000947451;1
"Produits_non_transformés";NA;-9,65e-05;1;"Produits_non_transformés";NA;-9,65e-05;1
"Pas_assez_calories";NA;-0,019783808;1;"Pas_assez_calories";NA;-0,019783808;1
"Digestion_rapide";NA;-0,002985843;1;"Digestion_rapide";NA;-0,002985843;1
"Faim";NA;-0,002145812;1;"Faim";NA;-0,002145812;1
"Pas_assez_légumineuses";NA;-0,023193101;1;"Pas_assez_légumineuses";NA;-0,023193101;1
"Trop_pain";NA;-0,006277251;1;"Trop_pain";NA;-0,006277251;1
