"item_id","num","tester_id","id_form","zone","nb_visites","tps"
"34359006-f70f-438e-85d0-420cf2fe6944",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,1,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,2,2,624
"34359006-f70f-438e-85d0-420cf2fe6944",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,3,1,199
"34359006-f70f-438e-85d0-420cf2fe6944",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,4,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,5,2,499
"34359006-f70f-438e-85d0-420cf2fe6944",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,1,2,584
"34359006-f70f-438e-85d0-420cf2fe6944",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,2,2,867
"34359006-f70f-438e-85d0-420cf2fe6944",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,3,1,319
"34359006-f70f-438e-85d0-420cf2fe6944",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,4,3,758
"34359006-f70f-438e-85d0-420cf2fe6944",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,5,2,1891
"34359006-f70f-438e-85d0-420cf2fe6944",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,1,7,1772
"34359006-f70f-438e-85d0-420cf2fe6944",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,2,2,463
"34359006-f70f-438e-85d0-420cf2fe6944",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,3,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,4,4,1339
"34359006-f70f-438e-85d0-420cf2fe6944",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,5,2,913
"34359006-f70f-438e-85d0-420cf2fe6944",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,1,3,525
"34359006-f70f-438e-85d0-420cf2fe6944",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,2,3,1508
"34359006-f70f-438e-85d0-420cf2fe6944",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,3,1,366
"34359006-f70f-438e-85d0-420cf2fe6944",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,4,2,127
"34359006-f70f-438e-85d0-420cf2fe6944",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,5,2,665
"34359006-f70f-438e-85d0-420cf2fe6944",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,1,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,2,2,455
"34359006-f70f-438e-85d0-420cf2fe6944",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,3,1,304
"34359006-f70f-438e-85d0-420cf2fe6944",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,4,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,5,2,998
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,1,5,1014
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,2,5,1780
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,3,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,4,3,757
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,5,4,956
